version,pattern,coverage_target,state,allow
auto-DDDDDU-c20,DDDDDU,0.2,UUUUUU,1
auto-DDDDDU-c20,DDDDDU,0.2,UUDDUD,1
auto-DDDDDU-c20,DDDDDU,0.2,UDDUDD,1
auto-DDDDDU-c20,DDDDDU,0.2,DUUUDU,1
auto-DDDDDU-c20,DDDDDU,0.2,DDDUUU,1
auto-DDDDDU-c20,DDDDDU,0.2,DUDUDU,1
auto-DDDDDU-c20,DDDDDU,0.2,UDDDUU,1
auto-DDDDDU-c20,DDDDDU,0.2,UUUUUD,1
auto-DDDDDU-c20,DDDDDU,0.2,DUUUUU,1
auto-DDDDDU-c20,DDDDDU,0.2,UUUDUU,1
auto-DDDDDU-c20,DDDDDU,0.2,DDUUUD,1
auto-DDDDDU-c20,DDDDDU,0.2,UDDUDU,1
auto-DDDDDU-c20,DDDDDU,0.2,DUDDUD,1
auto-DDDDDU-c20,DDDDDU,0.2,DUDUDD,1
