version,pattern,coverage_target,state,allow
auto-DDUDDU-c20,DDUDDU,0.2,UDDDDU,1
auto-DDUDDU-c20,DDUDDU,0.2,DDDDUD,1
auto-DDUDDU-c20,DDUDDU,0.2,DUDDDD,1
auto-DDUDDU-c20,DDUDDU,0.2,DDDUDD,1
auto-DDUDDU-c20,DDUDDU,0.2,DDDUUD,1
auto-DDUDDU-c20,DDUDDU,0.2,DDUDDD,1
auto-DDUDDU-c20,DDUDDU,0.2,UUDUDD,1
auto-DDUDDU-c20,DDUDDU,0.2,UDDDUU,1
auto-DDUDDU-c20,DDUDDU,0.2,UUUDUU,1
auto-DDUDDU-c20,DDUDDU,0.2,UDUUDD,1
auto-DDUDDU-c20,DDUDDU,0.2,UUUUDU,1
auto-DDUDDU-c20,DDUDDU,0.2,DDDUDU,1
auto-DDUDDU-c20,DDUDDU,0.2,UUDDDU,1
