version,pattern,coverage_target,state,allow
auto-DDUUUU-c30,DDUUUU,0.3,UUDUUU,1
auto-DDUUUU-c30,DDUUUU,0.3,DUUUUD,1
auto-DDUUUU-c30,DDUUUU,0.3,DUUDUU,1
auto-DDUUUU-c30,DDUUUU,0.3,UDUDUD,1
auto-DDUUUU-c30,DDUUUU,0.3,UDUUUD,1
auto-DDUUUU-c30,DDUUUU,0.3,DDDDDU,1
auto-DDUUUU-c30,DDUUUU,0.3,UDUDDD,1
auto-DDUUUU-c30,DDUUUU,0.3,UDDUDU,1
auto-DDUUUU-c30,DDUUUU,0.3,DUDUDU,1
auto-DDUUUU-c30,DDUUUU,0.3,DDDDUD,1
auto-DDUUUU-c30,DDUUUU,0.3,UUUDUU,1
auto-DDUUUU-c30,DDUUUU,0.3,UDDDDU,1
auto-DDUUUU-c30,DDUUUU,0.3,DDDUUD,1
auto-DDUUUU-c30,DDUUUU,0.3,DDDDUU,1
auto-DDUUUU-c30,DDUUUU,0.3,DDUDUD,1
auto-DDUUUU-c30,DDUUUU,0.3,UUDUDD,1
auto-DDUUUU-c30,DDUUUU,0.3,UDDDUU,1
auto-DDUUUU-c30,DDUUUU,0.3,UUUUDD,1
auto-DDUUUU-c30,DDUUUU,0.3,UUDDDD,1
auto-DDUUUU-c30,DDUUUU,0.3,DUDUDD,1
