version,pattern,coverage_target,state,allow
auto-DUDUUU-c40,DUDUUU,0.4,DDUUUU,1
auto-DUDUUU-c40,DUDUUU,0.4,UDUUUD,1
auto-DUDUUU-c40,DUDUUU,0.4,UUDDUU,1
auto-DUDUUU-c40,DUDUUU,0.4,DUUUDD,1
auto-DUDUUU-c40,DUDUUU,0.4,UDDUUU,1
auto-DUDUUU-c40,DUDUUU,0.4,DUUUUD,1
auto-DUDUUU-c40,DUDUUU,0.4,UUUUDD,1
auto-DUDUUU-c40,DUDUUU,0.4,UDUDUU,1
auto-DUDUUU-c40,DUDUUU,0.4,UUUDDU,1
auto-DUDUUU-c40,DUDUUU,0.4,UUDUUD,1
auto-DUDUUU-c40,DUDUUU,0.4,UDUUDU,1
auto-DUDUUU-c40,DUDUUU,0.4,UUUDUU,1
auto-DUDUUU-c40,DUDUUU,0.4,DUUDUU,1
auto-DUDUUU-c40,DUDUUU,0.4,DUUUDU,1
auto-DUDUUU-c40,DUDUUU,0.4,UUDUDU,1
auto-DUDUUU-c40,DUDUUU,0.4,DUDUDU,1
auto-DUDUUU-c40,DUDUUU,0.4,DUDUUU,1
auto-DUDUUU-c40,DUDUUU,0.4,UUDUUU,1
auto-DUDUUU-c40,DUDUUU,0.4,DUDUUD,1
auto-DUDUUU-c40,DUDUUU,0.4,UDUUDD,1
auto-DUDUUU-c40,DUDUUU,0.4,DDUUUD,1
auto-DUDUUU-c40,DUDUUU,0.4,UUUUUD,1
auto-DUDUUU-c40,DUDUUU,0.4,DUUDDU,1
auto-DUDUUU-c40,DUDUUU,0.4,DDUDUD,1
auto-DUDUUU-c40,DUDUUU,0.4,UDDUDU,1
