version,pattern,coverage_target,state,allow
auto-DUUUUD-c20,DUUUUD,0.2,UUUDDD,1
auto-DUUUUD-c20,DUUUUD,0.2,UDDDUU,1
auto-DUUUUD-c20,DUUUUD,0.2,DDDDDD,1
auto-DUUUUD-c20,DUUUUD,0.2,UUUUDD,1
auto-DUUUUD-c20,DUUUUD,0.2,UUDDDU,1
auto-DUUUUD-c20,DUUUUD,0.2,DDUUUU,1
auto-DUUUUD-c20,DUUUUD,0.2,UUDUUD,1
auto-DUUUUD-c20,DUUUUD,0.2,DUDUUU,1
auto-DUUUUD-c20,DUUUUD,0.2,UUUDDU,1
auto-DUUUUD-c20,DUUUUD,0.2,DUUUUD,1
auto-DUUUUD-c20,DUUUUD,0.2,DDDUUD,1
auto-DUUUUD-c20,DUUUUD,0.2,DDUDUU,1
auto-DUUUUD-c20,DUUUUD,0.2,UUDDUD,1
