version,pattern,coverage_target,state,allow
auto-DUUUUU-c20,DUUUUU,0.2,DDDDDD,1
auto-DUUUUU-c20,DUUUUU,0.2,UUUUDD,1
auto-DUUUUU-c20,DUUUUU,0.2,UDDDDD,1
auto-DUUUUU-c20,DUUUUU,0.2,UUDUUU,1
auto-DUUUUU-c20,DUUUUU,0.2,UUDDDD,1
auto-DUUUUU-c20,DUUUUU,0.2,DDDDDU,1
auto-DUUUUU-c20,DUUUUU,0.2,DDUDDU,1
auto-DUUUUU-c20,DUUUUU,0.2,UUDDUU,1
auto-DUUUUU-c20,DUUUUU,0.2,DUUUDU,1
auto-DUUUUU-c20,DUUUUU,0.2,UUUDDD,1
auto-DUUUUU-c20,DUUUUU,0.2,DUDDUD,1
auto-DUUUUU-c20,DUUUUU,0.2,UDUDUU,1
auto-DUUUUU-c20,DUUUUU,0.2,DDUUUD,1
auto-DUUUUU-c20,DUUUUU,0.2,DUDDDD,1
