version,pattern,coverage_target,state,allow
auto-UDDDUU-c20,UDDDUU,0.2,UDUDUD,1
auto-UDDDUU-c20,UDDDUU,0.2,DUDUDU,1
auto-UDDDUU-c20,UDDDUU,0.2,DUDUDD,1
auto-UDDDUU-c20,UDDDUU,0.2,UDUDDU,1
auto-UDDDUU-c20,UDDDUU,0.2,UDDUDD,1
auto-UDDDUU-c20,UDDDUU,0.2,UUUDDD,1
auto-UDDDUU-c20,UDDDUU,0.2,DDUUUD,1
auto-UDDDUU-c20,UDDDUU,0.2,UDDUUD,1
auto-UDDDUU-c20,UDDDUU,0.2,UUDDUD,1
auto-UDDDUU-c20,UDDDUU,0.2,UUDUUD,1
auto-UDDDUU-c20,UDDDUU,0.2,DUUUDU,1
auto-UDDDUU-c20,UDDDUU,0.2,UDDUDU,1
auto-UDDDUU-c20,UDDDUU,0.2,DUUUDD,1
