version,pattern,coverage_target,state,allow
auto-UDUDDD-c20,UDUDDD,0.2,UDUUDU,1
auto-UDUDDD-c20,UDUDDD,0.2,DUDUUD,1
auto-UDUDDD-c20,UDUDDD,0.2,DDUUDD,1
auto-UDUDDD-c20,UDUDDD,0.2,DUDDUD,1
auto-UDUDDD-c20,UDUDDD,0.2,DDUDDU,1
auto-UDUDDD-c20,UDUDDD,0.2,DDDUDU,1
auto-UDUDDD-c20,UDUDDD,0.2,UDDUDD,1
auto-UDUDDD-c20,UDUDDD,0.2,UUDDDD,1
auto-UDUDDD-c20,UDUDDD,0.2,DUDDDU,1
auto-UDUDDD-c20,UDUDDD,0.2,UUUDDD,1
auto-UDUDDD-c20,UDUDDD,0.2,UUUDUU,1
auto-UDUDDD-c20,UDUDDD,0.2,UUUUDU,1
auto-UDUDDD-c20,UDUDDD,0.2,UDUUUU,1
auto-UDUDDD-c20,UDUDDD,0.2,DDDUDD,1
