version,pattern,coverage_target,state,allow
auto-UUDDDU-c20,UUDDDU,0.2,DUUUDD,1
auto-UUDDDU-c20,UUDDDU,0.2,DUUDDD,1
auto-UUDDDU-c20,UUDDDU,0.2,DDDUUU,1
auto-UUDDDU-c20,UUDDDU,0.2,UUDDDD,1
auto-UUDDDU-c20,UUDDDU,0.2,UUDDUU,1
auto-UUDDDU-c20,UUDDDU,0.2,DDUUUD,1
auto-UUDDDU-c20,UUDDDU,0.2,UDUUUD,1
auto-UUDDDU-c20,UUDDDU,0.2,UUUDDU,1
auto-UUDDDU-c20,UUDDDU,0.2,UDUDUD,1
auto-UUDDDU-c20,UUDDDU,0.2,UUUUUU,1
auto-UUDDDU-c20,UUDDDU,0.2,UDUDDD,1
auto-UUDDDU-c20,UUDDDU,0.2,DDUUDD,1
auto-UUDDDU-c20,UUDDDU,0.2,UDUUDD,1
