version,pattern,coverage_target,state,allow
auto-UUUUUD-c30,UUUUUD,0.3,DDDDDD,1
auto-UUUUUD-c30,UUUUUD,0.3,UDDDDD,1
auto-UUUUUD-c30,UUUUUD,0.3,DDDDDU,1
auto-UUUUUD-c30,UUUUUD,0.3,DUUUDU,1
auto-UUUUUD-c30,UUUUUD,0.3,DDDDUU,1
auto-UUUUUD-c30,UUUUUD,0.3,UDUUUD,1
auto-UUUUUD-c30,UUUUUD,0.3,UUUDUU,1
auto-UUUUUD-c30,UUUUUD,0.3,UDUUDD,1
auto-UUUUUD-c30,UUUUUD,0.3,UUDDDD,1
auto-UUUUUD-c30,UUUUUD,0.3,DUUDDD,1
auto-UUUUUD-c30,UUUUUD,0.3,UUDDUD,1
auto-UUUUUD-c30,UUUUUD,0.3,DUDDDD,1
auto-UUUUUD-c30,UUUUUD,0.3,DDDUUU,1
auto-UUUUUD-c30,UUUUUD,0.3,UDDUDU,1
auto-UUUUUD-c30,UUUUUD,0.3,DDDDUD,1
auto-UUUUUD-c30,UUUUUD,0.3,DDUUUD,1
auto-UUUUUD-c30,UUUUUD,0.3,DUDUDU,1
auto-UUUUUD-c30,UUUUUD,0.3,DUDUUD,1
auto-UUUUUD-c30,UUUUUD,0.3,DDUDDD,1
auto-UUUUUD-c30,UUUUUD,0.3,DDDUDD,1
auto-UUUUUD-c30,UUUUUD,0.3,DUDDUD,1
